District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
East Khasi Hills,Mawphlang,Niamsang,2022-2023,461287,41,31,75.61
East Khasi Hills,Mawphlang,Pepjynrong,2022-2023,461288,28,22,78.57
East Khasi Hills,Mawsynram,Dewsaw Nongtymmai,2022-2023,461289,25,19,76.0
East Khasi Hills,Mawsynram,Kynrang,2022-2023,461290,101,80,79.21
East Khasi Hills,Mawsynram,Lumdiengngan,2022-2023,461291,128,102,79.69
East Khasi Hills,Mawsynram,Mawsadang,2022-2023,461292,164,123,75.0
East Khasi Hills,Mawsynram,Mawtapiew,2022-2023,461293,156,118,75.64
East Khasi Hills,Mawsynram,Nongrim Warding,2022-2023,461294,63,50,79.37
East Khasi Hills,Mawsynram,Pyndensohsaw,2022-2023,461295,160,122,76.25
East Khasi Hills,Mawsynram,Rangweng,2022-2023,461296,47,36,76.6
East Khasi Hills,Mawsynram,Wahmawlangdiar,2022-2023,461297,34,24,70.59
East Khasi Hills,Mawsynram,Wahmawpat,2022-2023,461298,207,157,75.85
North Garo Hills,Bajengdoba,Chiramaga,2022-2023,461299,65,46,70.77
North Garo Hills,Bajengdoba,Chisimakanang,2022-2023,461300,75,55,73.33
North Garo Hills,Bajengdoba,Jamgaondagre,2022-2023,461301,30,23,76.67
North Garo Hills,Bajengdoba,Thorikkakona Garo,2022-2023,461302,119,93,78.15
North Garo Hills,Bajengdoba,Thorikona Rabha,2022-2023,461303,102,80,78.43
North Garo Hills,Kharkutta,Adokgiri,2022-2023,461304,82,60,73.17
North Garo Hills,Kharkutta,Lower Bolmedang,2022-2023,461305,133,101,75.94
North Garo Hills,Resubelpara,Dainadubi,2022-2023,461306,75,53,70.67
North Garo Hills,Resubelpara,Soenang Apal,2022-2023,461307,106,82,77.36
North Garo Hills,Resubelpara,Thapa Dangre,2022-2023,461308,220,171,77.73
North Garo Hills,Resubelpara,Thapa Darangchi,2022-2023,461309,41,30,73.17
North Garo Hills,Resubelpara,Thapa Rongdopa,2022-2023,461310,50,39,78.0
Ri Bhoi,Jirang,Barigaon,2022-2023,461311,140,105,75.0
Ri Bhoi,Jirang,Belahari,2022-2023,461312,106,79,74.53
Ri Bhoi,Jirang,Nongwah Mawpnar,2022-2023,461313,28,21,75.0
Ri Bhoi,Jirang,Pilangku - B,2022-2023,461314,50,37,74.0
Ri Bhoi,Jirang,Pynker A,2022-2023,461315,26,19,73.08
Ri Bhoi,Jirang,Sohkyrbam Domphlang,2022-2023,461316,97,74,76.29
Ri Bhoi,Jirang,Umkadhor,2022-2023,461317,164,123,75.0
Ri Bhoi,Jirang,Umshru,2022-2023,461318,208,149,71.63
Ri Bhoi,Umling,Hynniangbarilum,2022-2023,461319,85,60,70.59
Ri Bhoi,Umling,Kongkhat Khuli,2022-2023,461320,33,25,75.76
Ri Bhoi,Umling,Nongthymmai Garo,2022-2023,461321,130,100,76.92
Ri Bhoi,Umling,Pahamar Daloi,2022-2023,461322,70,55,78.57
Ri Bhoi,Umling,Ronghilik,2022-2023,461323,25,18,72.0
Ri Bhoi,Umling,Sohlait Thymmai,2022-2023,461324,37,26,70.27
Ri Bhoi,Umling,Umjojwa,2022-2023,461325,34,27,79.41
Ri Bhoi,Umsning,Khyndewso,2022-2023,461326,280,199,71.07
Ri Bhoi,Umsning,Lawhuleng,2022-2023,461327,25,19,76.0
Ri Bhoi,Umsning,Madan Umwang,2022-2023,461328,96,75,78.13
Ri Bhoi,Umsning,Mynri Umsning,2022-2023,461329,144,115,79.86
Ri Bhoi,Umsning,Mynsain,2022-2023,461330,140,105,75.0
Ri Bhoi,Umsning,Nongdiengngan,2022-2023,461331,84,60,71.43
Ri Bhoi,Umsning,Nongpyrdet,2022-2023,461332,94,66,70.21
Ri Bhoi,Umsning,Sohliya Iapngar,2022-2023,461333,120,88,73.33
Ri Bhoi,Umsning,Ti-iamih,2022-2023,461334,28,20,71.43
Ri Bhoi,Umsning,Umsaitprah,2022-2023,461335,122,88,72.13
Ri Bhoi,Umsning,Umlamphlang,2022-2023,461336,52,40,76.92
Ri Bhoi,Umsning,Ummat,2022-2023,461337,63,48,76.19
Ri Bhoi,Umsning,Umsamlem,2022-2023,461338,200,150,75.0
Ri Bhoi,Umsning,Umsohpieng,2022-2023,461339,20,15,75.0
South Garo Hills,Baghmara,Darang Dura,2022-2023,461340,49,35,71.43
South Garo Hills,Baghmara,Emang-gatabilgre,2022-2023,461341,20,15,75.0
South Garo Hills,Baghmara,Eman Prang Ading,2022-2023,461342,19,15,78.95
South Garo Hills,Chokpot,Alagiri,2022-2023,461343,81,60,74.07
South Garo Hills,Chokpot,Kene-badimagiri,2022-2023,461344,19,14,73.68
South Garo Hills,Chokpot,Marakapara,2022-2023,461345,34,27,79.41
South Garo Hills,Chokpot,Rene Adinggre,2022-2023,461346,26,20,76.92
South Garo Hills,Gasuapara,Gaijanggre,2022-2023,461347,15,11,73.33
South Garo Hills,Gasuapara,Gasuapara,2022-2023,461348,231,164,71.0
South Garo Hills,Gasuapara,Onajora,2022-2023,461349,41,31,75.61
South Garo Hills,Rongara,Amonggiri,2022-2023,461350,180,143,79.44
South Garo Hills,Rongara,Dambuk Apal,2022-2023,461351,48,36,75.0
South Garo Hills,Rongara,Hangkema,2022-2023,461352,14,10,71.43
South Garo Hills,Rongara,Hatibel,2022-2023,461353,31,22,70.97
South Garo Hills,Rongara,Nengsra,2022-2023,461354,50,35,70.0
South West Garo Hills,Betasing,Adagre,2022-2023,461355,62,45,72.58
South West Garo Hills,Betasing,Akinpara,2022-2023,461356,45,32,71.11
South West Garo Hills,Betasing,Amjana Korkora,2022-2023,461357,49,36,73.47
South West Garo Hills,Betasing,Ampatigre,2022-2023,461358,262,204,77.86
South West Garo Hills,Betasing,Bangkapara,2022-2023,461359,117,83,70.94
South West Garo Hills,Betasing,Batajor,2022-2023,461360,58,46,79.31
South West Garo Hills,Betasing,Borkona,2022-2023,461361,91,72,79.12
South West Garo Hills,Betasing,Chalitabari,2022-2023,461362,85,60,70.59
South West Garo Hills,Betasing,Chiringpara,2022-2023,461363,94,75,79.79
South West Garo Hills,Betasing,Galmara,2022-2023,461364,69,50,72.46
South West Garo Hills,Betasing,Gandipara Hajong,2022-2023,461365,42,30,71.43
South West Garo Hills,Betasing,Ichakuri,2022-2023,461366,289,214,74.05
South West Garo Hills,Betasing,Jelbongpara,2022-2023,461367,96,71,73.96
South West Garo Hills,Betasing,Lutubari,2022-2023,461368,114,86,75.44
South West Garo Hills,Betasing,Malchapara,2022-2023,461369,92,73,79.35
South West Garo Hills,Betasing,Rangsagri,2022-2023,461370,48,34,70.83
South West Garo Hills,Betasing,Sagaltana,2022-2023,461371,23,18,78.26
South West Garo Hills,Betasing,Sonabil,2022-2023,461372,83,62,74.7
South West Garo Hills,Zikzak,Basya Raypara,2022-2023,461373,166,130,78.31
South West Garo Hills,Zikzak,Bidukura,2022-2023,461374,85,65,76.47
South West Garo Hills,Zikzak,Demdemakona,2022-2023,461375,82,61,74.39
South West Garo Hills,Zikzak,Kalaigaon (daksakipara),2022-2023,461376,67,50,74.63
South West Garo Hills,Zikzak,Kalaigaon Bilipara,2022-2023,461377,74,55,74.32
South West Garo Hills,Zikzak,Koligre,2022-2023,461378,48,35,72.92
South West Garo Hills,Zikzak,Kulupara,2022-2023,461379,168,130,77.38
South West Garo Hills,Zikzak,Malidaspara.,2022-2023,461380,87,67,77.01
South West Garo Hills,Zikzak,Marahalipara,2022-2023,461381,83,62,74.7
South West Garo Hills,Zikzak,Modokpara,2022-2023,461382,196,146,74.49
South West Garo Hills,Zikzak,Nayapara,2022-2023,461383,316,250,79.11
South West Garo Hills,Zikzak,Patelipara,2022-2023,461384,127,94,74.02
South West Garo Hills,Zikzak,Ponchapara,2022-2023,461385,127,96,75.59
South West Garo Hills,Zikzak,Tongnapara,2022-2023,461386,33,26,78.79
South West Garo Hills,Zikzak,Tosidaspara,2022-2023,461387,172,130,75.58
South West Khasi Hills,Mawkyrwat,Laitnong,2022-2023,461388,122,94,77.05
South West Khasi Hills,Mawkyrwat,Pharmawiong,2022-2023,461389,69,49,71.01
South West Khasi Hills,Mawkyrwat,Rangblang (sohsyniang),2022-2023,461390,150,111,74.0
South West Khasi Hills,Mawkyrwat,Rangjadong,2022-2023,461391,76,56,73.68
South West Khasi Hills,Ranikor,Domsohkhai,2022-2023,461392,81,60,74.07
South West Khasi Hills,Ranikor,Koraibari,2022-2023,461393,69,50,72.46
West Garo Hills,Dadenggiri,Chandigre,2022-2023,461394,113,84,74.34
West Garo Hills,Dadenggiri,Dadenggre,2022-2023,461395,805,630,78.26
West Garo Hills,Dadenggiri,Kangkaronggri(b),2022-2023,461396,40,29,72.5
West Garo Hills,Dalu,Kerapara Nokat,2022-2023,461397,54,43,79.63
West Garo Hills,Dalu,Rengsipara,2022-2023,461398,66,47,71.21
West Garo Hills,Dalu,Rongbokgri,2022-2023,461399,18,13,72.22
West Garo Hills,Dalu,Tallanggre,2022-2023,461400,71,55,77.46
West Garo Hills,Dalu,Terimpara (morop),2022-2023,461401,37,27,72.97
West Garo Hills,Gambegre,Alabagre -ii,2022-2023,461402,52,41,78.85
West Garo Hills,Gambegre,Upper Dopgre,2022-2023,461403,89,69,77.53
West Garo Hills,Rongram,Kalchengre,2022-2023,461404,70,51,72.86
West Garo Hills,Rongram,Robagre,2022-2023,461405,164,128,78.05
West Garo Hills,Rongram,Soragre,2022-2023,461406,83,64,77.11
West Garo Hills,Selsella,Aigar,2022-2023,461407,83,66,79.52
West Garo Hills,Selsella,Arigri,2022-2023,461408,38,30,78.95
West Garo Hills,Selsella,Dodoretgre,2022-2023,461409,82,64,78.05
West Garo Hills,Selsella,Kalapani,2022-2023,461410,200,150,75.0
West Garo Hills,Selsella,Kalapani Ii,2022-2023,461411,196,153,78.06
West Jaintia Hills,Amlarem,Nongtalang Mission,2022-2023,461412,131,92,70.23
West Jaintia Hills,Thadlaskein,Iongsnieh Takhniang,2022-2023,461413,152,117,76.97
West Jaintia Hills,Thadlaskein,Mookaswan,2022-2023,461414,163,123,75.46
West Jaintia Hills,Thadlaskein,Saphoh Waiong,2022-2023,461415,35,27,77.14
Eastern West Khasi Hills,Mairang,Lad Pnar Rim,2022-2023,461416,98,78,79.59
Eastern West Khasi Hills,Mairang,Mawphanniew-aandb,2022-2023,461417,573,430,75.04
Eastern West Khasi Hills,Mairang,Umpdem,2022-2023,461418,119,94,78.99
West Khasi Hills,Mawshynrut,Nongma,2022-2023,461419,36,28,77.78
West Khasi Hills,Mawshynrut,Seinduli Ii,2022-2023,461420,71,55,77.46
Eastern West Khasi Hills,Mawthadraishan,Mawroh,2022-2023,461421,261,185,70.88
Eastern West Khasi Hills,Mawthadraishan,Nongshillong,2022-2023,461422,143,102,71.33
Eastern West Khasi Hills,Mawthadraishan,Phodumbah,2022-2023,461423,65,50,76.92
West Khasi Hills,Nongstoin,Mawbuhtraw,2022-2023,461424,78,58,74.36
West Khasi Hills,Nongstoin,Mawkhiatmihngi,2022-2023,461425,29,21,72.41
West Khasi Hills,Nongstoin,Mawthir,2022-2023,461426,83,61,73.49
West Khasi Hills,Nongstoin,Wahjynriew,2022-2023,461427,27,21,77.78
East Garo Hills,Dambo Rongjeng,Aragittim,2022-2023,461428,126,101,80.16
East Garo Hills,Dambo Rongjeng,Chijong Akong,2022-2023,461429,31,25,80.65
East Garo Hills,Dambo Rongjeng,Nengring Gittim,2022-2023,461430,80,65,81.25
East Garo Hills,Dambo Rongjeng,Rongjeng Reserve,2022-2023,461431,245,197,80.41
East Garo Hills,Dambo Rongjeng,Rongjeng Songma,2022-2023,461432,138,120,86.96
East Garo Hills,Dambo Rongjeng,Rongmil,2022-2023,461433,317,272,85.8
East Garo Hills,Dambo Rongjeng,Rongmithu,2022-2023,461434,128,107,83.59
East Garo Hills,Dambo Rongjeng,Simseng Minol,2022-2023,461435,44,39,88.64
East Garo Hills,Dambo Rongjeng,Wajagittim,2022-2023,461436,68,60,88.24
East Garo Hills,Samanda,Chachat Karubra,2022-2023,461437,37,30,81.08
East Garo Hills,Samanda,Chimiminggre,2022-2023,461438,36,30,83.33
East Garo Hills,Samanda,Dawa Matchakolgre,2022-2023,461439,42,35,83.33
East Garo Hills,Samanda,Dawa Songgital,2022-2023,461440,72,61,84.72
East Garo Hills,Samanda,Nengkra Wategre,2022-2023,461441,54,47,87.04
East Garo Hills,Samanda,Nengsitgre,2022-2023,461442,35,30,85.71
East Garo Hills,Samanda,Rongbinggre,2022-2023,461443,140,123,87.86
East Garo Hills,Samanda,Prapgre,2022-2023,461444,83,71,85.54
East Garo Hills,Songsak,Bansinggre B,2022-2023,461445,46,39,84.78
East Garo Hills,Songsak,Bollong Nonggaru,2022-2023,461446,52,45,86.54
East Garo Hills,Songsak,Dimbil Chiring,2022-2023,461447,24,21,87.5
East Garo Hills,Songsak,Elatchi Apal,2022-2023,461448,73,65,89.04
East Garo Hills,Songsak,Moranodi,2022-2023,461449,62,50,80.65
East Garo Hills,Songsak,Napak Songma,2022-2023,461450,138,121,87.68
East Garo Hills,Songsak,Rangmalgre,2022-2023,461451,27,22,81.48
East Garo Hills,Songsak,Samin Silkigre,2022-2023,461452,62,52,83.87
East Garo Hills,Songsak,Sanema,2022-2023,461453,74,65,87.84
East Garo Hills,Songsak,Snal Dajreng,2022-2023,461454,37,32,86.49
East Garo Hills,Songsak,Wakpat Apal,2022-2023,461455,61,53,86.89
East Jaintia Hills,Khliehriat,Musiang Lamare (old),2022-2023,461456,125,107,85.6
East Jaintia Hills,Khliehriat,Nongsning,2022-2023,461457,117,105,89.74
East Jaintia Hills,Khliehriat,Thangskai,2022-2023,461458,127,112,88.19
East Jaintia Hills,Khliehriat,Umlatdoh,2022-2023,461459,70,60,85.71
East Jaintia Hills,Khliehriat,Umrasiang,2022-2023,461460,59,50,84.75
East Jaintia Hills,Khliehriat,Wahiajer,2022-2023,461461,139,120,86.33
East Jaintia Hills,Saipung,Thuruk,2022-2023,461462,135,119,88.15
East Khasi Hills,Sohiong,Iewmawiong,2022-2023,461463,192,165,85.94
East Khasi Hills,Sohiong,Jathang,2022-2023,461464,35,30,85.71
East Khasi Hills,Sohiong,Khrang,2022-2023,461465,158,135,85.44
East Khasi Hills,Sohiong,Laitmawroh,2022-2023,461466,120,100,83.33
East Khasi Hills,Sohiong,Pyrda,2022-2023,461467,51,41,80.39
East Khasi Hills,Sohiong,Wahtyngngai Ummluh,2022-2023,461468,178,143,80.34
East Khasi Hills,Mawphlang,Dongiewrim Mawphlang,2022-2023,461469,165,145,87.88
East Khasi Hills,Mawphlang,Mawkynthei Wahlyngnu,2022-2023,461470,79,71,89.87
East Khasi Hills,Mawphlang,Mawlumrum,2022-2023,461471,82,70,85.37
East Khasi Hills,Mawphlang,Mawrihpih A,2022-2023,461472,51,41,80.39
East Khasi Hills,Mawphlang,Nongkhasen,2022-2023,461473,158,139,87.97
East Khasi Hills,Mawsynram,Hatmawdon,2022-2023,461474,40,34,85.0
East Khasi Hills,Mawsynram,Mawkaphan,2022-2023,461475,95,82,86.32
East Khasi Hills,Mylliem,Mawpat,2022-2023,461476,1182,1016,100.0
East Khasi Hills,Pynursla,Pyrnai,2022-2023,461477,216,181,83.8
East Khasi Hills,Pynursla,Saitwait,2022-2023,461478,121,100,82.64
East Khasi Hills,Shella Bholaganj,Lyngngar,2022-2023,461479,25,22,88.0
East Khasi Hills,Shella Bholaganj,Wahkaliar,2022-2023,461480,48,42,87.5
North Garo Hills,Bajengdoba,Gokul Songma,2022-2023,461481,46,40,86.96
North Garo Hills,Bajengdoba,Kimdegre,2022-2023,461482,33,28,84.85
North Garo Hills,Bajengdoba,Moamari,2022-2023,461483,102,90,88.24
North Garo Hills,Bajengdoba,New Mendal,2022-2023,461484,105,88,83.81
North Garo Hills,Bajengdoba,Rangagora,2022-2023,461485,89,80,89.89
North Garo Hills,Kharkutta,Kejugittim,2022-2023,461486,40,32,80.0
North Garo Hills,Kharkutta,Upper Rongmatchu,2022-2023,461487,26,21,80.77
North Garo Hills,Resubelpara,Bokma Apalgre,2022-2023,461488,25,22,88.0
North Garo Hills,Resubelpara,Bokmagre,2022-2023,461489,30,26,86.67
North Garo Hills,Resubelpara,Dame Apal (gindapasari),2022-2023,461490,35,30,85.71
North Garo Hills,Resubelpara,Harinkata Garo,2022-2023,461491,94,81,86.17
North Garo Hills,Resubelpara,Harinkata Rabha,2022-2023,461492,35,30,85.71
North Garo Hills,Resubelpara,New Chipakram,2022-2023,461493,39,34,87.18
North Garo Hills,Resubelpara,New Harinkata,2022-2023,461494,24,20,83.33
North Garo Hills,Resubelpara,New Miapara,2022-2023,461495,49,43,87.76
North Garo Hills,Resubelpara,Rongmaklong,2022-2023,461496,50,43,86.0
North Garo Hills,Resubelpara,Sepikol,2022-2023,461497,141,113,80.14
North Garo Hills,Resubelpara,Soenang Adinggre,2022-2023,461498,48,43,89.58
North Garo Hills,Resubelpara,Thapa Rongdeng,2022-2023,461499,51,45,88.24
North Garo Hills,Resubelpara,Upper Nengsa,2022-2023,461500,100,88,88.0
Ri Bhoi,Jirang,Iew Sohksang (new Jirang),2022-2023,461501,66,55,83.33
Ri Bhoi,Jirang,Jyrmang,2022-2023,461502,41,35,85.37
Ri Bhoi,Jirang,Nongbirthem,2022-2023,461503,122,101,82.79
Ri Bhoi,Jirang,Nongwah Mawlein,2022-2023,461504,151,135,89.4
Ri Bhoi,Jirang,Patharkhmah,2022-2023,461505,340,298,87.65
Ri Bhoi,Jirang,Rajakhumai,2022-2023,461506,56,46,82.14
Ri Bhoi,Jirang,Umiong,2022-2023,461507,76,63,82.89
Ri Bhoi,Jirang,Umshohphria,2022-2023,461508,159,135,84.91
Ri Bhoi,Jirang,Umtarsen,2022-2023,461509,24,21,87.5
Ri Bhoi,Umling,15th Miles Nongtymmai,2022-2023,461510,235,202,85.96
Ri Bhoi,Umling,Borbhuin,2022-2023,461511,144,121,84.03
Ri Bhoi,Umling,"Gambalbari """"a""""",2022-2023,461512,45,40,88.89
Ri Bhoi,Umling,"Gambalbari """"b""""",2022-2023,461513,35,30,85.71
Ri Bhoi,Umling,Hynniangbari Them,2022-2023,461514,171,152,88.89
Ri Bhoi,Umling,Jyntru,2022-2023,461515,65,58,89.23
Ri Bhoi,Umling,Khongwing,2022-2023,461516,28,24,85.71
Ri Bhoi,Umling,Mawiong 1 2 3,2022-2023,461517,75,60,80.0
Ri Bhoi,Umling,Paham Tyrlaw (sohkhwai),2022-2023,461518,30,25,83.33
Ri Bhoi,Umling,Pahambir Them,2022-2023,461519,58,49,84.48
Ri Bhoi,Umling,Panitola Dam Site,2022-2023,461520,36,30,83.33
Ri Bhoi,Umling,Ryndhi,2022-2023,461521,24,20,83.33
Ri Bhoi,Umling,Santipur,2022-2023,461522,75,65,86.67
Ri Bhoi,Umling,Tamulkushi,2022-2023,461523,120,97,80.83
Ri Bhoi,Umling,Umdap Rngi,2022-2023,461524,46,40,86.96
Ri Bhoi,Umling,Umdihar,2022-2023,461525,180,152,84.44
Ri Bhoi,Umling,Umdoh 18th Mile,2022-2023,461526,189,159,84.13
Ri Bhoi,Umling,Umrang Umjaren,2022-2023,461527,40,35,87.5
Ri Bhoi,Umling,Umshakait,2022-2023,461528,89,78,87.64
Ri Bhoi,Umsning,Bir,2022-2023,461529,42,35,83.33
Ri Bhoi,Umsning,Klew,2022-2023,461530,329,266,80.85
Ri Bhoi,Umsning,Lawbyrwa,2022-2023,461531,154,131,85.06
Ri Bhoi,Umsning,Liarbang Thiahmiet,2022-2023,461532,80,70,87.5
Ri Bhoi,Umsning,Lumkeni,2022-2023,461533,25,20,80.0
Ri Bhoi,Umsning,Lumroman,2022-2023,461534,87,77,88.51
Ri Bhoi,Umsning,Lumsohpetbneng,2022-2023,461535,73,65,89.04
Ri Bhoi,Umsning,Mawbri,2022-2023,461536,145,124,85.52
Ri Bhoi,Umsning,Mawiapbang,2022-2023,461537,111,93,83.78
Ri Bhoi,Umsning,Mawshang,2022-2023,461538,62,53,85.48
Ri Bhoi,Umsning,Nongmawlong,2022-2023,461539,84,70,83.33
Ri Bhoi,Umsning,Nongrim Nongladew,2022-2023,461540,180,150,83.33
Ri Bhoi,Umsning,Rongpherkong,2022-2023,461541,67,54,80.6
Ri Bhoi,Umsning,Syntumaw,2022-2023,461542,36,30,83.33
Ri Bhoi,Umsning,Thad,2022-2023,461543,150,120,80.0
Ri Bhoi,Umsning,Thadnongiaw,2022-2023,461544,130,105,80.77
Ri Bhoi,Umsning,Tihwieh,2022-2023,461545,123,100,81.3
Ri Bhoi,Umsning,Umdamli,2022-2023,461546,63,53,84.13
Ri Bhoi,Umsning,Umtasor Nongjyrmi,2022-2023,461547,47,39,82.98
South Garo Hills,Baghmara,Adingre,2022-2023,461548,93,81,87.1
South Garo Hills,Baghmara,Aruak Songgital,2022-2023,461549,25,20,80.0
South Garo Hills,Baghmara,Bodrirongding Awe,2022-2023,461550,107,94,87.85
South Garo Hills,Baghmara,Badri Watregittim,2022-2023,461551,155,130,83.87
South Garo Hills,Baghmara,Emangre,2022-2023,461552,78,70,89.74
South Garo Hills,Baghmara,Mindikgre,2022-2023,461553,105,92,87.62
South Garo Hills,Baghmara,Nengkong Songmong,2022-2023,461554,122,98,80.33
South Garo Hills,Chokpot,Bolchimdagre,2022-2023,461555,57,50,87.72
South Garo Hills,Chokpot,Dobogre,2022-2023,461556,116,97,83.62
South Garo Hills,Chokpot,Kene -anchenggiri,2022-2023,461557,21,18,85.71
South Garo Hills,Chokpot,Kene-chaniagre,2022-2023,461558,59,50,84.75
South Garo Hills,Chokpot,Rongasigiri,2022-2023,461559,37,30,81.08
South Garo Hills,Chokpot,Rotonggre,2022-2023,461560,38,32,84.21
South Garo Hills,Chokpot,Sasatgre,2022-2023,461561,33,28,84.85
South Garo Hills,Chokpot,Wakjapakgre,2022-2023,461562,31,26,83.87
South Garo Hills,Gasuapara,Batabari,2022-2023,461563,60,50,83.33
South Garo Hills,Gasuapara,Molmegre,2022-2023,461564,12,10,83.33
South Garo Hills,Gasuapara,Ruga Makbilkol,2022-2023,461565,43,38,88.37
South Garo Hills,Gasuapara,Telikali,2022-2023,461566,184,150,81.52
South Garo Hills,Rongara,Agatchikona,2022-2023,461567,19,16,84.21
South Garo Hills,Rongara,Ampanggiri,2022-2023,461568,130,110,84.62
South Garo Hills,Rongara,Chenggni Songmong,2022-2023,461569,71,60,84.51
South Garo Hills,Rongara,Gandhigri,2022-2023,461570,39,33,84.62
South Garo Hills,Rongara,Inolgri,2022-2023,461571,47,40,85.11
South Garo Hills,Rongara,Maheskola,2022-2023,461572,72,60,83.33
South Garo Hills,Rongara,New Rongara,2022-2023,461573,60,50,83.33
South Garo Hills,Rongara,Rongaigittim,2022-2023,461574,101,81,80.2
South Garo Hills,Rongara,Upper Nekkora,2022-2023,461575,32,27,84.38
South West Garo Hills,Betasing,Agalgri,2022-2023,461576,103,83,80.58
South West Garo Hills,Betasing,Alekapara,2022-2023,461577,87,75,86.21
South West Garo Hills,Betasing,Ambari,2022-2023,461578,112,92,82.14
South West Garo Hills,Betasing,Asinagre,2022-2023,461579,122,102,83.61
South West Garo Hills,Betasing,Baispara,2022-2023,461580,161,129,80.12
South West Garo Hills,Betasing,Balapara,2022-2023,461581,192,167,86.98
South West Garo Hills,Betasing,Banduraja,2022-2023,461582,79,64,81.01
South West Garo Hills,Betasing,Bangre,2022-2023,461583,106,85,80.19
South West Garo Hills,Betasing,Bairagipara,2022-2023,461584,204,175,85.78
South West Garo Hills,Betasing,Chondon Nokat,2022-2023,461585,70,56,80.0
South West Garo Hills,Betasing,Dakupara,2022-2023,461586,60,48,80.0
South West Garo Hills,Betasing,Dilnigre,2022-2023,461587,74,62,83.78
South West Garo Hills,Betasing,Duguripara,2022-2023,461588,153,125,81.7
South West Garo Hills,Betasing,Gandhi Para Koch,2022-2023,461589,202,174,86.14
South West Garo Hills,Betasing,Gandhipara Garo,2022-2023,461590,314,281,89.49
South West Garo Hills,Betasing,Garodoba,2022-2023,461591,151,121,80.13
South West Garo Hills,Betasing,Jaluagre,2022-2023,461592,192,167,86.98
South West Garo Hills,Betasing,Jongdingre,2022-2023,461593,47,41,87.23
South West Garo Hills,Betasing,Marrakapara,2022-2023,461594,82,66,80.49
South West Garo Hills,Betasing,Pharengpara,2022-2023,461595,92,74,80.43
South West Garo Hills,Betasing,Rangsakona,2022-2023,461596,137,122,89.05
South West Garo Hills,Betasing,Samati,2022-2023,461597,122,108,88.52
South West Garo Hills,Betasing,Saptoka,2022-2023,461598,139,119,85.61
South West Garo Hills,Betasing,Sipra Kumli,2022-2023,461599,25,20,80.0
South West Garo Hills,Betasing,Sonamite Ajrigre,2022-2023,461600,83,70,84.34
South West Garo Hills,Betasing,Sonamite Koch Para,2022-2023,461601,79,65,82.28
South West Garo Hills,Betasing,Sulguri B,2022-2023,461602,114,100,87.72
South West Garo Hills,Betasing,Wakantagiri,2022-2023,461603,132,115,87.12
South West Garo Hills,Zikzak,Agonggitim,2022-2023,461604,84,75,89.29
South West Garo Hills,Zikzak,Babupara,2022-2023,461605,242,200,82.64
South West Garo Hills,Zikzak,Bagicha,2022-2023,461606,175,150,85.71
South West Garo Hills,Zikzak,Domapara,2022-2023,461607,124,110,88.71
South West Garo Hills,Zikzak,Ganggikona,2022-2023,461608,103,90,87.38
South West Garo Hills,Zikzak,Kalaigaon Katabaripara,2022-2023,461609,55,45,81.82
South West Garo Hills,Zikzak,Kalaigaon Mondolpara,2022-2023,461610,65,55,84.62
South West Garo Hills,Zikzak,Kalaigaon Nayapara,2022-2023,461611,50,40,80.0
South West Garo Hills,Zikzak,Modhergaon.,2022-2023,461612,214,182,85.05
South West Garo Hills,Zikzak,Zikzak,2022-2023,461613,115,98,85.22
South West Khasi Hills,Mawkyrwat,Photjaud,2022-2023,461614,165,134,81.21
South West Khasi Hills,Ranikor,Rangdangngai,2022-2023,461615,40,32,80.0
South West Khasi Hills,Ranikor,Rangkhait,2022-2023,461616,35,31,88.57
West Garo Hills,Dadenggiri,Rongkongre,2022-2023,461617,91,78,85.71
West Garo Hills,Dalu,Magupara,2022-2023,461618,197,169,85.79
West Garo Hills,Dalu,Moropgre,2022-2023,461619,57,46,80.7
West Garo Hills,Gambegre,Dollonggre,2022-2023,461620,25,20,80.0
West Garo Hills,Gambegre,Lower Dopgre,2022-2023,461621,64,52,81.25
West Garo Hills,Rongram,Aguragri,2022-2023,461622,204,169,82.84
West Garo Hills,Rongram,Dingringgre,2022-2023,461623,35,30,85.71
West Garo Hills,Rongram,Masumata,2022-2023,461624,50,40,80.0
West Garo Hills,Rongram,Megapgre,2022-2023,461625,116,102,87.93
West Garo Hills,Rongram,Misimagre,2022-2023,461626,64,52,81.25
West Garo Hills,Rongram,Rengsangre,2022-2023,461627,182,154,84.62
West Garo Hills,Rongram,Romba Adingre,2022-2023,461628,42,35,83.33
West Garo Hills,Rongram,Selbalgre,2022-2023,461629,170,137,80.59
West Garo Hills,Rongram,Waribokgre,2022-2023,461630,187,154,82.35
West Garo Hills,Selsella,Balukmari,2022-2023,461631,97,83,85.57
West Garo Hills,Selsella,Bangalkata,2022-2023,461632,637,570,89.48
West Garo Hills,Selsella,Belbari,2022-2023,461633,503,450,89.46
West Garo Hills,Selsella,Bolchugre,2022-2023,461634,57,47,82.46
West Garo Hills,Selsella,Boldokagre,2022-2023,461635,48,42,87.5
West Garo Hills,Selsella,Borshibanda,2022-2023,461636,584,487,83.39
West Garo Hills,Selsella,Chibongagre,2022-2023,461637,55,49,89.09
West Garo Hills,Selsella,Deldela,2022-2023,461638,85,73,85.88
West Garo Hills,Selsella,Demdema,2022-2023,461639,37,30,81.08
